Category,Section,Standard Ref,Assessment Question,Compliance,Notes,Owner,Priority
Core Requirements,1 - Install and Maintain Network Security Controls,1.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for installing and maintaining network security controls are defined and understood?,Fully Compliant,,S. Chowdhury,
Core Requirements,1 - Install and Maintain Network Security Controls,1.2,Has the organisation implemented and evidenced the control objective: network security controls (NSCs) are configured and maintained?,Not Compliant,Gap identified during review — network security controls (NSCs) are configured and maintained has not been implemented. Remediation plan required.,T. Ahmed,Medium
Core Requirements,1 - Install and Maintain Network Security Controls,1.3,Has the organisation implemented and evidenced the control objective: network access to and from the cardholder data environment is restricted?,Partially Compliant,Network access to and from the cardholder data environment is restricted is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Low
Core Requirements,1 - Install and Maintain Network Security Controls,1.4,Has the organisation implemented and evidenced the control objective: network connections between trusted and untrusted networks are controlled?,Fully Compliant,,Security Engineering,
Core Requirements,1 - Install and Maintain Network Security Controls,1.5,Has the organisation implemented and evidenced the control objective: risks to the CDE from computing devices that can connect to both untrusted networks and the CDE are mitigated?,Fully Compliant,,Security Engineering,
Core Requirements,2 - Apply Secure Configurations to All System Components,2.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for applying secure configurations to all system components are defined and understood?,Partially Compliant,Processes and mechanisms for applying secure configurations to all system components are defined and understood is partly in place but lacks consistent evidence or full documentation.,QSA Liaison,Medium
Core Requirements,2 - Apply Secure Configurations to All System Components,2.2,Has the organisation implemented and evidenced the control objective: system components are configured and managed securely?,Fully Compliant,,QSA Liaison,
Core Requirements,2 - Apply Secure Configurations to All System Components,2.3,Has the organisation implemented and evidenced the control objective: wireless environments are configured and managed securely?,Fully Compliant,,A. Rahman,
Core Requirements,3 - Protect Stored Account Data,3.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for protecting stored account data are defined and understood?,Not Compliant,Gap identified during review — processes and mechanisms for protecting stored account data are defined and understood has not been implemented. Remediation plan required.,T. Ahmed,High
Core Requirements,3 - Protect Stored Account Data,3.2,Has the organisation implemented and evidenced the control objective: storage of account data is kept to a minimum?,Fully Compliant,,S. Chowdhury,
Core Requirements,3 - Protect Stored Account Data,3.3,Has the organisation implemented and evidenced the control objective: sensitive authentication data (SAD) is not stored after authorization?,Not Compliant,Gap identified during review — sensitive authentication data (SAD) is not stored after authorization has not been implemented. Remediation plan required.,R. Hasan,Medium
Core Requirements,3 - Protect Stored Account Data,3.4,Has the organisation implemented and evidenced the control objective: access to displays of full PAN and ability to copy PAN is restricted?,Fully Compliant,,S. Chowdhury,
Core Requirements,3 - Protect Stored Account Data,3.5,Has the organisation implemented and evidenced the control objective: primary account number (PAN) is secured wherever it is stored?,Partially Compliant,Primary account number (PAN) is secured wherever it is stored is partly in place but lacks consistent evidence or full documentation.,A. Rahman,High
Core Requirements,3 - Protect Stored Account Data,3.6,Has the organisation implemented and evidenced the control objective: cryptographic keys used to protect stored account data are secured?,Not Compliant,Gap identified during review — cryptographic keys used to protect stored account data are secured has not been implemented. Remediation plan required.,N. Islam,Medium
Core Requirements,3 - Protect Stored Account Data,3.7,Has the organisation implemented and evidenced the control objective: key-management processes and procedures covering the full cryptographic key lifecycle are defined and implemented?,Partially Compliant,Key-management processes and procedures covering the full cryptographic key lifecycle are defined and implemented is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Low
Core Requirements,4 - Protect Cardholder Data with Strong Cryptography During Transmission,4.1,"Has the organisation implemented and evidenced the control objective: processes and mechanisms for protecting cardholder data with strong cryptography during transmission over open, public networks are defined and documented?",Not Compliant,"Gap identified during review — processes and mechanisms for protecting cardholder data with strong cryptography during transmission over open, public networks are defined and documented has not been implemented. Remediation plan required.",M. Karim,Low
Core Requirements,4 - Protect Cardholder Data with Strong Cryptography During Transmission,4.2,Has the organisation implemented and evidenced the control objective: PAN is protected with strong cryptography during transmission?,Partially Compliant,PAN is protected with strong cryptography during transmission is partly in place but lacks consistent evidence or full documentation.,T. Ahmed,Low
Core Requirements,5 - Protect All Systems and Networks from Malicious Software,5.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for protecting all systems and networks from malicious software are defined and understood?,Not Compliant,Gap identified during review — processes and mechanisms for protecting all systems and networks from malicious software are defined and understood has not been implemented. Remediation plan required.,S. Chowdhury,High
Core Requirements,5 - Protect All Systems and Networks from Malicious Software,5.2,"Has the organisation implemented and evidenced the control objective: malicious software (malware) is prevented, or detected and addressed?",Partially Compliant,"Malicious software (malware) is prevented, or detected and addressed is partly in place but lacks consistent evidence or full documentation.",T. Ahmed,High
Core Requirements,5 - Protect All Systems and Networks from Malicious Software,5.3,"Has the organisation implemented and evidenced the control objective: anti-malware mechanisms and processes are active, maintained, and monitored?",Fully Compliant,,R. Hasan,
Core Requirements,5 - Protect All Systems and Networks from Malicious Software,5.4,Has the organisation implemented and evidenced the control objective: anti-phishing mechanisms protect users against phishing attacks?,Fully Compliant,,R. Hasan,
Core Requirements,6 - Develop and Maintain Secure Systems and Software,6.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for developing and maintaining secure systems and software are defined and understood?,Fully Compliant,,R. Hasan,
Core Requirements,6 - Develop and Maintain Secure Systems and Software,6.2,Has the organisation implemented and evidenced the control objective: bespoke and custom software are developed securely?,Partially Compliant,Bespoke and custom software are developed securely is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,Low
Core Requirements,6 - Develop and Maintain Secure Systems and Software,6.3,Has the organisation implemented and evidenced the control objective: security vulnerabilities are identified and addressed?,Partially Compliant,Security vulnerabilities are identified and addressed is partly in place but lacks consistent evidence or full documentation.,R. Hasan,Medium
Core Requirements,6 - Develop and Maintain Secure Systems and Software,6.4,Has the organisation implemented and evidenced the control objective: public-facing web applications are protected against attacks?,Partially Compliant,Public-facing web applications are protected against attacks is partly in place but lacks consistent evidence or full documentation.,M. Karim,High
Core Requirements,6 - Develop and Maintain Secure Systems and Software,6.5,Has the organisation implemented and evidenced the control objective: changes to all system components are managed securely?,Fully Compliant,,S. Chowdhury,
Core Requirements,7 - Restrict Access by Business Need to Know,7.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for restricting access to system components and cardholder data by business need to know are defined and understood?,Fully Compliant,,R. Hasan,
Core Requirements,7 - Restrict Access by Business Need to Know,7.2,Has the organisation implemented and evidenced the control objective: access to system components and data is appropriately defined and assigned?,Partially Compliant,Access to system components and data is appropriately defined and assigned is partly in place but lacks consistent evidence or full documentation.,R. Hasan,High
Core Requirements,7 - Restrict Access by Business Need to Know,7.3,Has the organisation implemented and evidenced the control objective: access to system components and data is managed via an access control system?,Fully Compliant,,M. Karim,
Core Requirements,8 - Identify Users and Authenticate Access,8.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for identifying users and authenticating access to system components are defined and understood?,Partially Compliant,Processes and mechanisms for identifying users and authenticating access to system components are defined and understood is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Medium
Core Requirements,8 - Identify Users and Authenticate Access,8.2,Has the organisation implemented and evidenced the control objective: user identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle?,Partially Compliant,User identification and related accounts for users and administrators are strictly managed throughout an account's lifecycle is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Low
Core Requirements,8 - Identify Users and Authenticate Access,8.3,Has the organisation implemented and evidenced the control objective: strong authentication for users and administrators is established and managed?,Fully Compliant,,R. Hasan,
Core Requirements,8 - Identify Users and Authenticate Access,8.4,Has the organisation implemented and evidenced the control objective: multi-factor authentication (MFA) is implemented to secure access into the CDE?,Partially Compliant,Multi-factor authentication (MFA) is implemented to secure access into the CDE is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Medium
Core Requirements,8 - Identify Users and Authenticate Access,8.5,Has the organisation implemented and evidenced the control objective: multi-factor authentication (MFA) systems are configured to prevent misuse?,Fully Compliant,,S. Chowdhury,
Core Requirements,8 - Identify Users and Authenticate Access,8.6,Has the organisation implemented and evidenced the control objective: use of application and system accounts and associated authentication factors is strictly managed?,Fully Compliant,,Security Engineering,
Core Requirements,9 - Restrict Physical Access to Cardholder Data,9.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for restricting physical access to cardholder data are defined and understood?,Partially Compliant,Processes and mechanisms for restricting physical access to cardholder data are defined and understood is partly in place but lacks consistent evidence or full documentation.,S. Chowdhury,Medium
Core Requirements,9 - Restrict Physical Access to Cardholder Data,9.2,Has the organisation implemented and evidenced the control objective: physical access controls manage entry into facilities and systems containing cardholder data?,Fully Compliant,,R. Hasan,
Core Requirements,9 - Restrict Physical Access to Cardholder Data,9.3,Has the organisation implemented and evidenced the control objective: physical access for personnel and visitors is authorized and managed?,Not Compliant,Gap identified during review — physical access for personnel and visitors is authorized and managed has not been implemented. Remediation plan required.,R. Hasan,Low
Core Requirements,9 - Restrict Physical Access to Cardholder Data,9.4,"Has the organisation implemented and evidenced the control objective: media with cardholder data is securely stored, accessed, distributed, and destroyed?",Fully Compliant,,M. Karim,
Core Requirements,9 - Restrict Physical Access to Cardholder Data,9.5,Has the organisation implemented and evidenced the control objective: point-of-interaction (POI) devices are protected from tampering and unauthorized substitution?,Partially Compliant,Point-of-interaction (POI) devices are protected from tampering and unauthorized substitution is partly in place but lacks consistent evidence or full documentation.,Security Engineering,High
Core Requirements,10 - Log and Monitor All Access,10.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for logging and monitoring all access to system components and cardholder data are defined and understood?,Fully Compliant,,M. Karim,
Core Requirements,10 - Log and Monitor All Access,10.2,Has the organisation implemented and evidenced the control objective: audit logs are implemented to support the detection of anomalies and suspicious activity?,Fully Compliant,,N. Islam,
Core Requirements,10 - Log and Monitor All Access,10.3,Has the organisation implemented and evidenced the control objective: audit logs are protected from destruction and unauthorized modification?,Fully Compliant,,R. Hasan,
Core Requirements,10 - Log and Monitor All Access,10.4,Has the organisation implemented and evidenced the control objective: audit logs are reviewed to identify anomalies or suspicious activity?,Fully Compliant,,T. Ahmed,
Core Requirements,10 - Log and Monitor All Access,10.5,Has the organisation implemented and evidenced the control objective: audit log history is retained and available for analysis?,Not Applicable,,R. Hasan,
Core Requirements,10 - Log and Monitor All Access,10.6,Has the organisation implemented and evidenced the control objective: time-synchronization mechanisms support consistent time settings across all systems?,Fully Compliant,,N. Islam,
Core Requirements,10 - Log and Monitor All Access,10.7,"Has the organisation implemented and evidenced the control objective: failures of critical security control systems are detected, reported, and responded to?",Fully Compliant,,A. Rahman,
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.1,Has the organisation implemented and evidenced the control objective: processes and mechanisms for regularly testing security of systems and networks are defined and understood?,Partially Compliant,Processes and mechanisms for regularly testing security of systems and networks are defined and understood is partly in place but lacks consistent evidence or full documentation.,Security Engineering,Low
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.2,"Has the organisation implemented and evidenced the control objective: wireless access points are identified and monitored, and unauthorized wireless access points are addressed?",Fully Compliant,,QSA Liaison,
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.3,"Has the organisation implemented and evidenced the control objective: external and internal vulnerabilities are regularly identified, prioritized, and addressed?",Fully Compliant,,T. Ahmed,
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.4,Has the organisation implemented and evidenced the control objective: external and internal penetration testing is regularly performed and exploitable findings are corrected?,Fully Compliant,,QSA Liaison,
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.5,Has the organisation implemented and evidenced the control objective: network intrusions and unexpected file changes are detected and responded to?,Fully Compliant,,A. Rahman,
Core Requirements,11 - Test Security of Systems and Networks Regularly,11.6,Has the organisation implemented and evidenced the control objective: unauthorized changes on payment pages are detected and responded to?,Fully Compliant,,T. Ahmed,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.1,Has the organisation implemented and evidenced the control objective: a comprehensive information security policy that governs and provides direction for protection of the entity's information assets is known and current?,Fully Compliant,,T. Ahmed,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.2,Has the organisation implemented and evidenced the control objective: acceptable use policies for end-user technologies are defined and implemented?,Fully Compliant,,R. Hasan,
Core Requirements,12 - Support Information Security with Organizational Policies and Programs,12.3,"Has the organisation implemented and evidenced the control objective: risks to the cardholder data environment are formally identified, evaluated, and managed?",Not Compliant,"Gap identified during review — risks to the cardholder data environment are formally identified, evaluated, and managed has not been implemented. Remediation plan required.",M. Karim,Medium
